Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC
0,2,0,0,0
1,6,0,0,0
2,12,0,0,0
3,20,0,0,0
4,30,0,0,0
5,42,0,0,0
6,56,0,0,0
7,72,0,0,0
8,90,0,0,0
9,110,0,0,0
10,132,0,0,0
11,156,0,0,0
12,182,0,0,0
13,210,0,0,0
14,240,0,0,0
15,272,0,0,0
16,306,0,0,0
17,342,0,0,0
18,380,0,0,0
19,420,0,0,0
20,462,0,0,0
21,506,0,0,0
22,552,0,0,0
23,600,0,0,0
24,648,0,0,0
25,698,0,0,0
26,750,0,0,0
27,804,0,0,0
28,860,0,0,0
29,918,0,0,0
30,978,0,0,0
31,1040,0,0,0
32,1104,0,0,0
33,1170,0,0,0
34,1236,0,0,0
35,1304,0,0,0
36,1374,0,0,0
37,1446,0,0,0
38,1520,0,0,0
39,1596,0,0,0
40,1674,0,0,0
41,1674,0,0,0
42,1754,0,0,0
43,1836,0,0,0
44,1918,0,0,0
45,2002,0,0,0
46,2088,0,0,0
47,2176,0,0,0
48,2266,0,0,0
49,2358,0,0,0
50,2452,0,0,0
51,2548,0,0,0
52,2646,0,0,0
53,2746,0,0,0
54,2848,0,0,0
55,2952,0,0,0
56,3058,0,0,0
57,3166,0,0,0
58,3166,0,0,0
59,3166,0,0,0
60,3276,0,0,0
61,3386,0,0,0
62,3386,0,0,0
63,3496,0,0,0
64,3608,0,0,0
65,3608,0,0,0
66,3722,0,0,0
67,3838,0,0,0
68,3956,0,0,0
69,4074,0,0,0
70,4194,0,0,0
71,4314,0,0,0
72,4436,0,0,0
73,4558,0,0,0
74,4682,0,0,0
75,4808,0,0,0
76,4936,0,0,0
77,5066,0,0,0
78,5198,0,0,0
79,5332,0,0,0
80,5468,0,0,0
81,5606,0,0,0
82,5744,0,0,0
83,5884,0,0,0
84,6026,0,0,0
85,6170,0,0,0
86,6316,0,0,0
87,6464,0,0,0
88,6614,0,0,0
89,6766,0,0,0
90,6920,0,0,0
91,7076,0,0,0
92,7234,0,0,0
93,7394,0,0,0
94,7554,0,0,0
95,7716,0,0,0
96,7880,0,0,0
97,8044,0,0,0
98,8210,0,0,0
99,8378,0,0,0
100,8378,0,0,0
101,8548,0,0,0
102,8720,0,0,0
103,8720,0,0,0
104,8720,0,0,0
105,8894,0,0,0
106,9070,0,0,0
107,9246,0,0,0
108,9422,0,0,0
109,9422,0,0,0
110,9600,0,0,0
111,9778,0,0,0
112,9778,0,0,0
113,9958,0,0,0
114,10138,0,0,0
115,10320,0,0,0
116,10320,0,0,0
117,10504,0,0,0
118,10688,0,0,0
119,10874,0,0,0
120,11062,0,0,0
121,11252,0,0,0
122,11444,0,0,0
123,11638,0,0,0
124,11834,0,0,0
125,12032,0,0,0
126,12032,0,0,0
127,12230,0,0,0
128,12428,0,0,0
129,12626,0,0,0
130,12826,0,0,0
131,13028,0,0,0
132,13230,0,0,0
133,13434,0,0,0
134,13434,0,0,0
135,13638,0,0,0
136,13844,0,0,0
137,14052,0,0,0
138,14262,0,0,0
139,14474,0,0,0
140,14688,0,0,0
141,14904,0,0,0
142,15122,0,0,0
143,15340,0,0,0
144,15558,0,0,0
145,15778,0,0,0
146,16000,0,0,0
147,16224,0,0,0
148,16450,0,0,0
149,16678,0,0,0
150,16908,0,0,0
151,17140,0,0,0
152,17374,0,0,0
153,17610,0,0,0
154,17848,0,0,0
155,17848,0,0,0
156,18088,0,0,0
157,18328,0,0,0
158,18328,0,0,0
159,18328,0,0,0
160,18568,0,0,0
161,18810,0,0,0
162,19054,0,0,0
163,19300,0,0,0
164,19548,0,0,0
165,19798,0,0,0
166,20050,0,0,0
167,20302,0,0,0
168,20554,0,0,0
169,20808,0,0,0
170,20808,0,0,0
171,21062,0,0,0
172,21318,0,0,0
173,21576,0,0,0
174,21576,0,0,0
175,21834,0,0,0
176,22094,0,0,0
177,22356,0,0,0
178,22620,0,0,0
179,22884,0,0,0
180,23150,0,0,0
181,23418,0,0,0
182,23418,0,0,0
183,23418,0,0,0
184,23688,0,0,0
185,23960,0,0,0
186,23960,0,0,0
187,23960,0,0,0
188,24234,0,0,0
189,24510,0,0,0
190,24786,0,0,1892
191,25062,0,0,3784
192,25340,0,0,5676
