Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.05,NIndepLinUCB-alpha=0.01,NIndepLinUCB-alpha=0.3,NIndepLinUCB-alpha=0,NIndepLinUCB-alpha=1.5
0,0,0,0,0,0,0
25,58,0,0,0,0,0
50,210,0,0,0,0,0
75,290,0,0,0,0,0
100,376,0,0,0,0,0
125,472,0,0,0,0,0
150,574,0,0,0,0,0
175,676,0,0,0,0,0
200,676,0,0,0,0,0
225,788,0,0,0,0,0
250,902,0,0,0,0,0
275,902,0,0,0,0,0
300,902,0,0,0,0,0
325,902,0,0,0,0,0
350,902,0,0,0,0,0
375,902,0,0,0,0,0
400,1016,0,0,0,0,0
425,1016,0,0,0,0,0
450,1130,0,0,0,0,0
475,1130,0,0,0,0,0
500,1130,0,0,0,0,0
525,1130,0,0,0,0,0
550,1130,0,0,0,0,0
575,1130,0,0,0,0,0
600,1130,0,0,0,0,0
625,1130,0,0,0,0,0
650,1130,0,0,0,0,0
675,1244,0,0,0,0,0
700,1244,0,0,0,0,0
725,1244,0,0,0,0,0
750,1244,0,0,0,0,0
775,1244,0,0,0,0,0
800,1244,0,0,0,0,0
825,1244,0,0,0,0,0
850,1244,0,0,0,0,0
875,1358,0,0,0,0,0
900,1358,0,0,0,0,0
925,1358,0,0,0,0,0
950,1358,0,0,0,0,0
975,1358,0,0,0,0,0
1000,1358,0,0,0,0,0
1025,1358,0,0,0,0,0
1050,1358,0,0,0,0,0
1075,1472,0,0,0,0,0
1100,1472,0,0,0,0,0
1125,1472,0,0,0,0,0
1150,1472,0,0,0,0,0
1175,1472,0,0,0,0,0
1200,1472,0,0,0,0,0
1225,1472,0,0,0,0,0
1250,1472,0,0,0,0,0
1275,1472,0,0,0,0,0
1300,1472,0,0,0,0,0
1325,1472,0,0,0,0,0
1350,1472,0,0,0,0,0
1375,1472,0,0,0,0,0
1400,1586,0,0,0,0,0
1425,1586,0,0,0,0,0
1450,1586,0,0,0,0,0
1475,1586,0,0,0,0,0
1500,1586,0,0,0,0,0
1525,1586,0,0,0,0,0
1550,1586,0,0,0,0,0
1575,1586,0,0,0,0,0
1600,1586,0,0,0,0,0
1625,1586,0,0,0,0,0
1650,1586,0,0,0,0,0
1675,1586,0,0,0,0,0
1700,1586,0,0,0,0,0
1725,1586,0,0,0,0,0
1750,1586,0,0,0,0,0
1775,1700,0,0,0,0,0
1800,1700,0,0,0,0,0
1825,1700,0,0,0,0,0
1850,1700,0,0,0,0,0
1875,1700,0,0,0,0,0
1900,1700,0,0,0,0,0
1925,1700,0,0,0,0,0
1950,1700,0,0,0,0,0
1975,1700,0,0,0,0,0
2000,1700,0,0,0,0,0
2025,1700,0,0,0,0,0
2050,1700,0,0,0,0,0
2075,1700,0,0,0,0,0
2100,1700,0,0,0,0,0
2125,1700,0,0,0,0,0
2150,1700,0,0,0,0,0
2175,1814,0,0,0,0,0
2200,1814,0,0,0,0,0
2225,1814,0,0,0,0,0
2250,1814,0,0,0,0,0
2275,1814,0,0,0,0,0
2300,1814,0,0,0,0,0
2325,1814,0,0,0,0,0
2350,1814,0,0,0,0,0
2375,1814,0,0,0,0,0
