Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0
25,76,0,1,0,0
50,188,0,1,0,0
75,258,0,1,0,0
100,450,0,1,0,0
125,560,0,1,0,110
150,802,0,1,0,110
175,934,0,2,0,110
200,1212,0,5,0,110
225,1212,0,7,0,110
250,1358,0,11,0,110
275,1358,0,13,0,223
300,1504,0,19,0,223
325,1504,0,23,0,223
350,1504,0,26,0,223
375,1504,0,31,0,223
400,1504,0,41,0,223
425,1654,0,47,0,223
450,1654,0,57,0,223
475,1654,0,63,0,223
500,1654,0,76,0,318
525,1654,0,85,0,318
550,1654,0,95,0,318
575,1654,0,104,0,318
600,1654,0,112,0,318
625,1804,0,119,0,318
650,1804,0,128,0,410
675,1804,0,141,0,410
700,1804,0,154,0,410
725,1804,0,162,0,410
750,1804,0,172,0,410
775,1804,0,181,0,410
800,1954,0,188,0,410
825,1954,0,198,0,410
850,1954,0,203,0,410
875,1954,0,216,0,410
900,1954,0,227,0,410
925,1954,0,237,0,410
950,1954,0,251,0,410
975,1954,0,262,0,494
1000,1954,0,271,0,494
1025,2104,0,279,0,494
1050,2104,0,290,0,494
1075,2104,0,303,0,494
1100,2104,0,314,0,494
1125,2104,0,323,0,494
1150,2104,0,335,0,494
1175,2104,0,345,0,494
1200,2104,0,354,0,494
1225,2104,0,366,0,494
1250,2104,0,377,0,494
1275,2254,0,391,0,494
1300,2254,0,403,0,494
1325,2254,0,413,0,494
1350,2254,0,425,0,572
1375,2254,0,437,0,572
1400,2254,0,450,0,572
1425,2254,0,459,0,572
1450,2254,0,469,0,572
1475,2254,0,478,0,572
1500,2254,0,487,0,572
1525,2254,0,501,0,572
1550,2404,0,511,0,572
1575,2404,0,522,0,572
1600,2404,0,537,0,572
1625,2404,0,547,0,572
1650,2404,0,560,0,572
1675,2404,0,573,0,572
1700,2404,0,584,0,572
1725,2404,0,596,0,572
1750,2404,0,607,0,648
1775,2404,0,617,0,648
1800,2404,0,628,0,648
1825,2404,0,641,0,648
1850,2554,0,654,0,648
1875,2554,0,664,0,648
1900,2554,0,679,0,648
1925,2554,0,690,0,648
1950,2554,0,701,0,648
1975,2554,0,715,0,648
2000,2554,0,725,0,648
2025,2554,0,735,0,648
2050,2554,0,748,0,648
2075,2554,0,765,0,648
2100,2554,0,779,0,648
2125,2554,0,797,0,648
2150,2554,0,814,0,648
2175,2554,0,833,0,724
2200,2554,0,855,0,724
2225,2704,0,876,0,724
2250,2704,0,896,0,724
2275,2704,0,917,0,724
2300,2704,0,936,0,724
2325,2704,0,953,0,724
2350,2704,0,970,0,724
2375,2704,0,990,0,724
2400,2704,0,1011,0,724
2425,2704,0,1028,0,800
2450,2704,0,1048,0,800
2475,2704,0,1066,0,800
2500,2704,0,1087,0,800
2525,2704,0,1107,0,800
2550,2704,0,1128,0,800
2575,2704,0,1146,0,800
2600,2704,0,1163,0,800
2625,2704,0,1178,0,800
2650,2704,0,1198,0,800
2675,2704,0,1214,0,800
2700,2704,0,1238,0,800
2725,2704,0,1254,0,876
2750,2704,0,1274,0,876
2775,2704,0,1295,0,876
2800,2704,0,1313,0,876
2825,2854,0,1335,0,876
2850,2854,0,1354,0,876
2875,2854,0,1372,0,876
2900,2854,0,1392,0,952
2925,2854,0,1413,0,952
2950,2854,0,1431,0,952
2975,2854,0,1451,0,952
3000,2854,0,1474,0,952
