Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
0,0,0,0,0,0,0
25,58,0,1,0,0,0
50,210,0,1,0,0,0
75,290,0,1,0,0,0
100,376,0,1,0,86,0
125,472,0,2,0,86,0
150,574,0,7,0,86,0
175,676,0,7,0,172,0
200,676,0,9,0,172,0
225,788,0,12,0,172,0
250,902,0,18,0,172,0
275,902,0,28,0,172,0
300,902,0,36,0,172,0
325,902,0,40,0,172,0
350,1016,0,46,0,248,0
375,1016,0,54,0,248,0
400,1016,0,61,0,248,0
425,1016,0,71,0,248,0
450,1130,0,80,0,248,0
475,1130,0,90,0,318,0
500,1130,0,104,0,318,0
525,1130,0,115,0,318,0
550,1130,0,123,0,318,0
575,1130,0,134,0,318,0
600,1130,0,142,0,318,0
625,1244,0,150,0,318,0
650,1244,0,162,0,318,0
675,1244,0,173,0,318,0
700,1244,0,184,0,382,0
725,1244,0,194,0,382,0
750,1244,0,210,0,382,0
775,1244,0,223,0,382,0
800,1244,0,233,0,382,0
825,1358,0,246,0,382,0
850,1358,0,252,0,382,0
875,1358,0,265,0,382,0
900,1358,0,273,0,382,0
925,1358,0,284,0,382,0
950,1358,0,293,0,441,0
975,1358,0,304,0,441,0
1000,1358,0,318,0,441,0
1025,1358,0,329,0,441,0
1050,1358,0,342,0,441,0
1075,1472,0,356,0,441,0
1100,1472,0,371,0,441,0
1125,1472,0,384,0,441,0
1150,1472,0,394,0,441,0
1175,1472,0,409,0,441,0
1200,1472,0,424,0,500,0
1225,1472,0,440,0,500,0
1250,1472,0,454,0,500,0
1275,1472,0,463,0,500,0
1300,1472,0,479,0,500,0
1325,1472,0,490,0,500,0
1350,1472,0,503,0,500,0
1375,1586,0,518,0,500,0
1400,1586,0,535,0,500,0
1425,1586,0,546,0,500,0
1450,1586,0,560,0,500,0
1475,1586,0,578,0,562,0
1500,1586,0,591,0,562,0
1525,1586,0,608,0,562,0
1550,1586,0,621,0,562,0
1575,1586,0,640,0,562,0
1600,1586,0,656,0,562,0
1625,1586,0,672,0,562,0
1650,1586,0,686,0,562,0
1675,1700,0,702,0,562,0
1700,1700,0,714,0,562,0
1725,1700,0,728,0,562,0
1750,1700,0,742,0,562,0
1775,1700,0,758,0,562,0
1800,1700,0,769,0,562,0
1825,1700,0,788,0,562,0
1850,1700,0,801,0,562,0
1875,1700,0,818,0,562,0
1900,1700,0,833,0,621,0
1925,1700,0,847,0,621,0
1950,1700,0,862,0,621,0
1975,1700,0,877,0,621,0
2000,1700,0,891,0,621,0
2025,1700,0,902,0,621,0
2050,1700,0,919,0,621,0
2075,1700,0,943,0,621,0
2100,1700,0,968,0,621,0
2125,1700,0,992,0,621,0
2150,1814,0,1017,0,621,0
2175,1814,0,1042,0,621,0
2200,1814,0,1067,0,621,0
2225,1814,0,1092,0,621,0
2250,1814,0,1116,0,621,0
2275,1814,0,1141,0,621,0
2300,1814,0,1165,0,679,0
2325,1814,0,1190,0,679,0
2350,1814,0,1215,0,679,0
2375,1814,0,1239,0,679,0
2400,1814,0,1263,0,679,0
2425,1814,0,1288,0,679,0
2450,1814,0,1313,0,679,0
2475,1814,0,1337,0,679,0
2500,1814,0,1360,0,679,0
2525,1928,0,1385,0,679,0
2550,1928,0,1410,0,679,0
2575,1928,0,1434,0,679,0
2600,1928,0,1457,0,679,0
2625,1928,0,1481,0,679,0
2650,1928,0,1506,0,679,0
2675,1928,0,1531,0,679,0
2700,1928,0,1555,0,740,0
2725,1928,0,1580,0,740,0
2750,1928,0,1605,0,740,0
2775,1928,0,1629,0,740,0
2800,1928,0,1653,0,740,0
2825,1928,0,1678,0,740,0
2850,1928,0,1702,0,740,0
2875,1928,0,1727,0,740,0
2900,1928,0,1752,0,740,0
2925,2042,0,1777,0,740,0
2950,2042,0,1802,0,740,0
2975,2042,0,1827,0,798,0
3000,2042,0,1852,0,798,0
3025,2042,0,1877,0,798,0
3050,2042,0,1902,0,798,0
3075,2042,0,1927,0,798,0
3100,2042,0,1949,0,798,0
3125,2042,0,1974,0,798,0
3150,2042,0,1998,0,798,0
3175,2042,0,2023,0,798,0
3200,2042,0,2048,0,798,0
3225,2042,0,2073,0,798,0
3250,2042,0,2098,0,798,0
3275,2042,0,2122,0,798,0
3300,2042,0,2145,0,798,0
3325,2042,0,2170,0,798,0
3350,2042,0,2195,0,798,0
3375,2042,0,2220,0,856,0
3400,2156,0,2244,0,856,0
3425,2156,0,2269,0,856,0
3450,2156,0,2294,0,856,0
3475,2156,0,2319,0,856,0
3500,2156,0,2343,0,856,0
3525,2156,0,2368,0,856,0
3550,2156,0,2393,0,856,0
3575,2156,0,2418,0,856,0
3600,2270,0,2443,0,856,0
3625,2270,0,2467,0,856,0
3650,2270,0,2491,0,856,0
3675,2270,0,2516,0,856,0
3700,2270,0,2539,0,856,0
3725,2270,0,2564,0,856,0
3750,2270,0,2587,0,856,0
3775,2270,0,2611,0,914,0
3800,2270,0,2635,0,914,0
3825,2270,0,2659,0,914,0
3850,2270,0,2684,0,914,0
3875,2270,0,2709,0,914,0
3900,2270,0,2733,0,914,0
3925,2270,0,2757,0,914,0
3950,2270,0,2782,0,914,0
3975,2270,0,2806,0,914,0
4000,2270,0,2830,0,914,0
4025,2270,0,2855,0,914,0
4050,2384,0,2879,0,914,0
4075,2384,0,2904,0,914,0
4100,2384,0,2929,0,914,0
4125,2384,0,2954,0,914,0
4150,2384,0,2979,0,914,0
4175,2384,0,3003,0,914,0
4200,2384,0,3027,0,972,0
4225,2384,0,3052,0,972,0
4250,2384,0,3077,0,972,0
4275,2384,0,3101,0,972,0
4300,2384,0,3126,0,972,0
4325,2384,0,3150,0,972,0
4350,2384,0,3174,0,972,0
4375,2384,0,3199,0,972,0
4400,2384,0,3224,0,972,0
4425,2384,0,3247,0,972,0
4450,2384,0,3271,0,972,0
4475,2384,0,3296,0,972,0
4500,2384,0,3320,0,972,0
4525,2384,0,3344,0,972,0
4550,2384,0,3368,0,972,0
4575,2384,0,3393,0,1030,0
4600,2498,0,3418,0,1030,0
4625,2498,0,3441,0,1030,0
4650,2498,0,3466,0,1030,0
4675,2498,0,3491,0,1030,0
4700,2498,0,3514,0,1030,0
4725,2498,0,3538,0,1030,0
4750,2498,0,3562,0,1030,0
4775,2498,0,3586,0,1030,0
4800,2498,0,3611,0,1030,0
4825,2498,0,3634,0,1030,0
4850,2498,0,3658,0,1030,0
4875,2498,0,3680,0,1030,0
4900,2498,0,3705,0,1030,0
4925,2498,0,3730,0,1030,0
4950,2498,0,3754,0,1088,0
4975,2498,0,3778,0,1088,0
5000,2498,0,3803,0,1088,0
5025,2498,0,3828,0,1088,0
5050,2498,0,3852,4,1088,0
5075,2498,0,3877,4,1088,0
5100,2498,0,3902,4,1088,0
5125,2498,0,3927,8,1088,0
5150,2612,0,3951,8,1088,0
5175,2612,0,3976,8,1088,0
5200,2612,0,4000,14,1088,0
5225,2612,0,4025,14,1088,0
5250,2612,0,4048,14,1088,0
5275,2612,0,4072,16,1088,0
5300,2612,0,4097,16,1088,0
5325,2612,0,4122,16,1088,0
5350,2612,0,4147,22,1088,0
5375,2612,0,4170,22,1088,0
5400,2612,0,4194,22,1146,0
5425,2612,0,4219,26,1146,0
5450,2612,0,4243,26,1146,0
5475,2612,0,4267,26,1146,0
5500,2612,0,4291,28,1146,0
5525,2612,0,4313,28,1146,0
5550,2612,0,4337,28,1146,0
5575,2612,0,4361,32,1146,0
5600,2612,0,4386,32,1146,0
5625,2612,0,4411,32,1146,0
5650,2612,0,4434,36,1146,0
5675,2612,0,4457,36,1146,0
5700,2612,0,4481,36,1146,0
5725,2612,0,4503,44,1146,0
5750,2612,0,4526,44,1146,0
5775,2612,0,4550,44,1146,0
5800,2612,0,4573,46,1146,0
5825,2726,0,4595,46,1204,0
5850,2726,0,4619,46,1204,0
5875,2726,0,4641,48,1204,0
5900,2726,0,4663,48,1204,0
5925,2726,0,4687,48,1204,0
5950,2726,0,4708,50,1204,0
5975,2726,0,4732,50,1204,0
