Time(Iteration),DisLinUCB,NIndepLinUCB,FCLUB_DC,HetoFedBandit,HetoFedBandit_Enhanced,DyClu
0,0,0,0,0,0,0
25,24,0,1,0,0,0
50,196,0,1,0,31,0
75,360,0,1,0,93,0
100,554,0,1,0,93,0
125,664,0,1,0,93,0
150,782,0,1,0,93,0
175,1044,0,3,0,297,0
200,1180,0,6,0,297,0
225,1316,0,7,0,297,0
250,1456,0,13,0,297,0
275,1456,0,15,0,297,0
300,1600,0,22,0,297,0
325,1748,0,28,0,297,0
350,1748,0,31,0,297,0
375,1748,0,37,0,297,0
400,1748,0,44,0,297,0
425,1748,0,52,0,297,0
450,1896,0,61,0,297,0
475,1896,0,67,0,463,0
500,1896,0,71,0,463,0
525,1896,0,78,0,463,0
550,2044,0,85,0,605,0
575,2044,0,93,0,605,0
600,2044,0,101,0,770,0
625,2044,0,112,0,919,0
650,2194,0,120,0,919,0
675,2194,0,131,0,1028,0
700,2194,0,141,0,1103,0
725,2194,0,147,0,1252,0
750,2194,0,154,0,1252,0
775,2194,0,168,0,1341,0
800,2344,0,183,0,1341,0
825,2344,0,195,0,1341,0
850,2344,0,206,0,1341,0
875,2344,0,215,0,1341,0
900,2344,0,225,0,1341,0
925,2494,0,237,0,1442,0
950,2494,0,247,0,1442,0
975,2644,0,253,0,1721,0
1000,2794,0,263,0,1798,0
1025,2794,0,276,0,1958,0
1050,2794,0,286,0,1958,0
1075,2794,0,299,0,1958,0
1100,2794,0,309,0,1958,0
1125,2794,0,320,0,2035,0
1150,2794,0,329,0,2035,0
1175,2794,0,347,0,2112,0
1200,2944,0,359,0,2187,0
1225,2944,0,367,0,2294,0
1250,2944,0,379,0,2373,0
1275,2944,0,395,0,2547,0
1300,2944,0,407,0,2624,0
1325,2944,0,422,0,2701,0
1350,2944,0,437,0,2701,0
1375,2944,0,447,0,2778,0
1400,2944,0,463,0,2950,0
1425,3094,0,477,0,3027,0
1450,3094,0,494,0,3112,0
1475,3094,0,509,0,3209,0
1500,3094,0,521,0,3286,0
1525,3094,0,538,0,3365,0
1550,3094,0,554,0,3365,0
1575,3094,0,569,0,3442,0
1600,3094,0,585,0,3523,0
1625,3094,0,596,0,3523,0
1650,3094,0,612,0,3691,0
1675,3094,0,625,0,3871,0
1700,3244,0,640,0,3871,0
1725,3244,0,655,0,3871,0
1750,3244,0,674,0,4118,0
1775,3244,0,693,0,4272,0
1800,3244,0,706,0,4513,0
1825,3244,0,718,0,4677,0
1850,3244,0,732,0,4677,0
1875,3244,0,750,0,4754,0
1900,3244,0,764,0,4831,0
1925,3244,0,775,0,5003,0
1950,3244,0,788,0,5003,0
1975,3244,0,802,0,5003,0
2000,3394,0,816,0,5309,0
2025,3394,0,830,0,5388,0
2050,3394,0,848,0,5554,0
2075,3394,0,865,0,5716,0
2100,3394,0,882,0,5793,0
2125,3394,0,898,0,5793,0
2150,3394,0,914,0,5949,0
2175,3394,0,931,0,6182,0
2200,3394,0,948,0,6259,0
2225,3394,0,966,0,6425,0
2250,3394,0,985,0,6502,0
2275,3394,0,1000,0,6654,0
2300,3394,0,1016,0,6739,0
2325,3394,0,1035,0,6832,0
2350,3394,0,1048,0,6907,0
2375,3394,0,1068,0,6909,0
2400,3394,0,1081,0,7071,0
2425,3544,0,1099,0,7306,0
2450,3544,0,1117,0,7555,0
2475,3544,0,1134,0,7891,0
2500,3544,0,1152,0,7978,0
2525,3544,0,1171,0,8055,0
2550,3544,0,1189,0,8314,0
2575,3544,0,1202,0,8320,0
2600,3694,0,1217,0,8496,0
2625,3694,0,1235,0,8804,0
2650,3694,0,1252,0,8881,0
2675,3694,0,1270,0,8964,0
2700,3694,0,1281,0,9041,0
2725,3694,0,1295,0,9041,0
2750,3694,0,1309,0,9118,0
2775,3694,0,1328,0,9270,0
2800,3694,0,1341,0,9515,0
2825,3694,0,1358,0,9592,0
2850,3694,0,1369,0,9746,0
2875,3694,0,1386,0,9827,0
2900,3694,0,1402,0,9979,0
