Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,1
4,0,0,0,0,1
5,0,0,0,0,1
6,0,0,0,0,1
7,0,0,0,0,1
8,0,0,0,0,1
9,0,0,0,0,2
10,0,0,0,0,2
11,0,0,0,0,2
12,0,0,0,0,2
13,0,0,0,0,2
14,0,0,0,0,2
15,0,0,0,0,2
16,0,0,0,0,2
17,0,0,1,0,3
18,0,0,1,0,3
19,1,1,1,1,3
20,1,1,1,1,3
21,1,1,1,1,3
22,1,1,1,1,3
23,1,1,1,1,3
24,1,1,1,1,4
25,1,1,1,1,4
26,1,1,1,1,4
27,1,1,1,1,4
28,1,1,1,1,4
29,1,1,1,1,4
30,1,1,1,1,4
31,1,1,1,1,4
32,1,1,1,1,4
33,2,2,1,2,4
34,2,2,1,2,4
35,3,3,1,3,4
36,3,3,1,3,4
37,3,3,1,3,4
38,3,3,1,3,4
39,3,3,1,3,5
40,3,3,1,3,5
41,3,3,1,3,5
42,3,3,1,3,5
43,3,3,1,3,5
44,3,4,1,4,5
45,3,4,1,4,5
46,3,4,1,4,5
47,3,4,1,4,5
48,3,4,1,4,5
49,3,4,1,4,5
50,3,4,1,4,5
51,3,4,1,4,6
52,4,5,1,5,6
53,5,6,1,6,6
54,5,6,1,6,6
55,5,6,1,6,6
56,5,6,1,6,6
57,6,7,1,7,6
58,6,7,1,7,7
59,6,7,1,7,7
60,6,7,1,7,7
61,6,7,1,7,7
62,6,7,1,7,7
63,6,7,1,7,7
64,6,7,1,7,7
65,6,7,1,7,7
66,6,7,1,7,7
67,6,7,1,7,7
68,7,8,1,8,7
69,7,8,1,8,7
70,7,8,1,8,7
71,7,8,1,8,7
72,7,8,1,8,7
73,8,8,1,8,7
74,8,8,2,8,7
75,8,8,2,8,7
76,8,8,2,8,7
77,8,8,2,8,7
78,8,8,2,8,7
79,8,8,2,8,7
80,8,8,2,8,7
81,8,8,2,8,7
82,8,8,2,8,7
83,8,8,2,8,7
84,8,8,2,8,7
85,8,8,2,8,7
86,9,9,2,9,7
87,9,9,2,9,7
88,9,9,2,9,7
89,9,9,2,9,7
90,9,9,2,9,7
91,9,9,2,9,7
92,9,9,2,9,7
93,9,9,2,9,8
94,9,9,2,9,8
95,9,9,2,9,8
96,10,10,2,10,8
97,10,10,2,10,8
98,10,10,2,10,8
99,10,10,2,10,8
100,10,10,2,10,8
101,10,10,2,10,8
102,10,10,2,10,8
103,10,10,2,10,8
104,10,10,2,10,8
105,10,10,2,10,8
106,10,10,2,10,8
107,10,10,2,10,8
108,10,10,2,10,8
109,10,10,3,10,8
110,10,10,3,10,8
111,10,10,3,10,8
112,10,10,3,10,8
113,11,11,3,11,8
114,11,11,3,11,8
115,11,11,3,11,8
116,11,11,3,11,8
117,11,11,4,11,8
118,11,11,4,11,8
119,11,11,4,11,8
120,11,11,4,11,8
121,11,11,4,11,8
122,11,11,4,11,8
123,11,11,4,11,8
124,11,11,4,11,8
125,11,11,4,11,8
126,11,11,4,11,8
127,11,11,4,11,8
128,11,11,4,11,8
129,11,11,4,11,8
130,11,11,4,11,8
131,11,11,4,11,8
132,11,11,4,11,8
133,11,11,4,11,8
134,11,11,4,11,8
135,11,11,4,11,8
136,11,11,4,11,8
137,11,11,4,11,8
138,11,11,4,11,8
139,11,11,4,11,8
140,11,11,4,11,8
141,11,11,4,11,8
142,11,11,5,11,8
143,11,11,5,11,8
144,11,11,5,11,8
145,11,11,5,11,8
146,11,11,5,11,8
147,11,11,5,11,8
148,11,11,5,11,8
149,11,11,5,11,8
150,11,11,5,11,8
151,11,11,5,11,8
152,11,11,5,11,8
153,11,11,5,11,8
154,11,11,5,11,8
155,11,11,5,11,9
156,11,11,5,11,9
157,11,11,5,11,9
158,11,11,5,11,9
159,11,11,5,11,9
160,11,11,5,11,9
161,11,11,5,11,9
162,11,11,5,11,9
163,11,11,5,11,9
164,11,11,5,11,9
165,11,11,5,11,9
166,11,11,5,11,9
167,11,11,5,11,9
168,11,11,5,11,9
169,11,11,5,11,9
170,11,11,5,11,9
171,12,11,5,11,9
172,12,11,5,11,9
173,12,11,6,11,10
174,12,11,6,11,10
175,12,11,6,11,10
176,12,11,6,11,10
177,12,11,6,11,10
178,12,11,6,11,10
179,12,11,6,11,10
180,12,11,6,11,10
181,12,11,6,11,10
182,12,11,6,11,10
183,12,11,6,11,10
184,12,11,6,11,10
185,12,11,6,11,10
186,12,11,6,11,10
187,13,12,6,12,10
188,13,12,6,12,10
189,13,12,6,12,10
190,13,12,6,12,10
191,13,12,6,12,10
192,13,12,6,12,10
