Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.05,NIndepLinUCB-alpha=0.01,NIndepLinUCB-alpha=0.3,NIndepLinUCB-alpha=0,NIndepLinUCB-alpha=1.5
0,0,0,0,0,1,0,0
25,1,1,1,1,25,1,0
50,4,4,4,4,47,4,2
75,9,8,8,8,66,8,3
100,12,10,10,10,87,10,4
125,13,11,11,11,104,11,4
150,13,11,11,11,122,11,6
175,14,11,11,11,139,11,6
200,15,12,12,12,160,11,7
225,18,15,15,15,178,14,8
250,22,19,19,19,195,18,9
275,24,22,22,22,212,20,10
300,27,25,25,25,230,23,11
325,27,25,25,25,243,23,13
350,28,28,28,27,260,25,13
375,29,29,29,28,275,26,14
400,30,29,29,28,289,26,16
425,32,30,30,29,304,27,16
450,37,34,34,33,317,30,16
475,41,36,36,35,332,32,19
500,41,36,36,35,343,32,22
525,44,40,40,39,356,33,24
550,48,41,41,40,376,34,25
575,49,41,41,41,387,34,27
600,50,42,42,41,400,34,27
625,51,45,45,43,417,35,27
650,52,45,45,43,432,35,27
675,56,48,48,46,444,37,27
700,56,48,48,46,456,38,27
725,57,50,50,49,467,40,27
750,61,54,54,52,481,42,28
775,65,55,55,53,491,44,30
800,68,58,58,56,499,47,33
825,70,59,59,57,510,47,33
850,73,60,60,58,524,48,33
875,74,61,61,59,533,49,35
900,77,62,62,60,539,50,35
925,78,63,63,61,547,51,36
950,80,63,63,61,562,51,36
975,83,64,64,63,574,53,37
1000,89,69,69,68,583,56,40
1025,93,72,72,70,599,58,42
1050,97,73,73,70,611,59,42
1075,99,74,74,71,623,59,42
1100,103,76,76,73,630,60,42
1125,105,78,78,75,638,61,42
1150,108,79,79,76,645,61,43
1175,109,80,80,76,657,61,43
1200,111,84,84,79,671,62,44
1225,112,84,84,79,682,62,46
1250,116,87,87,81,692,64,46
1275,120,88,88,82,702,65,46
1300,123,91,91,85,711,67,47
1325,124,91,91,86,725,67,49
1350,128,94,94,89,735,69,49
1375,131,95,95,90,744,69,49
1400,134,95,95,90,754,70,50
1425,137,97,97,92,765,71,52
1450,137,98,98,93,774,71,54
1475,143,98,98,93,783,71,55
1500,147,100,100,95,792,73,57
1525,151,101,101,96,799,74,57
1550,153,103,103,98,809,75,57
1575,159,108,108,104,822,77,58
1600,161,109,109,105,825,78,61
1625,164,111,111,106,834,79,61
1650,168,114,113,108,844,80,62
1675,171,118,117,112,855,80,62
1700,176,122,121,116,867,84,62
1725,180,127,125,120,877,86,63
1750,181,127,125,120,882,87,63
1775,184,128,126,121,892,87,64
1800,187,128,126,122,897,87,66
1825,191,132,130,125,905,89,66
1850,194,134,132,127,915,90,69
1875,197,134,132,127,923,91,71
1900,199,134,132,127,934,91,72
1925,202,134,133,128,943,92,73
1950,205,136,135,131,951,95,73
1975,207,136,135,131,958,96,73
2000,210,138,136,133,969,96,73
2025,213,139,137,133,973,96,73
2050,218,141,139,136,985,98,75
2075,223,142,140,137,994,99,76
2100,228,143,141,137,1004,99,78
2125,234,148,146,142,1017,104,80
2150,240,149,147,143,1028,105,80
