Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0,0
25,1,1,1,2,0
50,2,2,2,6,1
75,6,5,5,6,2
100,10,6,5,7,4
125,14,6,5,8,4
150,19,6,6,10,4
175,22,7,8,10,4
200,26,10,11,10,5
225,31,13,13,11,8
250,37,13,13,14,10
275,45,14,17,17,11
300,52,15,18,18,11
325,59,21,22,19,12
350,67,25,25,20,13
375,77,26,27,20,14
400,86,28,29,24,15
425,99,31,30,25,16
450,112,35,34,27,17
475,116,36,36,29,17
500,126,38,38,30,17
525,137,40,43,31,17
550,151,42,48,31,17
575,160,45,52,34,18
600,175,47,55,34,19
625,183,50,58,35,22
650,191,54,62,35,22
675,199,56,65,35,22
700,211,60,68,36,23
725,219,62,70,36,26
750,230,66,75,37,26
775,241,67,78,38,28
800,253,68,79,38,28
825,263,68,82,39,29
850,277,71,83,39,31
875,290,75,86,40,31
900,302,77,88,40,33
925,315,79,91,41,36
950,325,79,92,44,36
975,337,85,96,46,38
1000,352,87,98,49,39
1025,363,93,103,49,39
1050,374,97,105,51,41
1075,387,102,106,52,42
1100,404,107,109,55,43
1125,416,109,111,57,44
1150,429,116,116,60,45
1175,442,116,118,61,46
1200,453,118,118,62,46
1225,466,122,122,63,48
1250,475,124,126,64,48
1275,488,126,127,64,51
1300,502,129,129,65,54
1325,515,133,135,66,55
1350,527,135,137,67,56
1375,538,135,138,68,56
1400,548,137,140,68,57
1425,559,142,141,68,58
1450,565,148,144,69,60
1475,580,151,149,70,60
1500,596,155,150,70,61
1525,610,161,154,70,64
1550,623,164,158,71,64
1575,632,168,164,75,66
1600,649,170,169,75,69
1625,662,173,172,76,70
1650,674,177,174,77,71
1675,689,180,176,77,73
1700,702,181,177,79,75
1725,713,185,179,79,77
1750,727,187,180,79,78
1775,740,189,181,79,80
1800,752,192,185,80,80
1825,767,196,189,80,81
1850,777,200,192,81,82
1875,790,208,196,81,82
1900,801,211,198,82,82
1925,815,215,199,82,83
1950,829,217,201,83,84
1975,842,220,202,85,85
2000,855,224,202,86,85
2025,868,230,206,87,85
2050,882,235,211,88,85
2075,898,240,211,88,85
2100,907,240,218,90,86
2125,921,244,220,91,87
2150,932,246,221,91,90
2175,941,249,223,93,90
2200,953,251,225,95,91
2225,962,257,228,97,92
2250,971,261,231,98,94
2275,982,262,233,98,94
2300,993,263,235,98,96
2325,1005,266,241,99,98
2350,1014,268,241,99,98
2375,1025,271,245,101,101
2400,1040,274,246,101,102
2425,1050,282,251,101,104
2450,1061,288,255,102,105
2475,1074,293,259,102,107
2500,1082,299,264,105,109
2525,1091,301,266,107,109
2550,1102,308,268,108,110
2575,1113,312,273,110,110
2600,1122,315,277,112,111
2625,1131,319,282,113,113
2650,1141,323,284,116,116
2675,1148,329,291,117,117
2700,1158,333,293,119,119
2725,1167,335,296,123,122
2750,1179,338,299,124,124
2775,1189,341,302,125,126
2800,1202,349,311,125,131
2825,1212,356,315,128,131
2850,1222,368,322,129,131
2875,1238,375,326,131,132
2900,1245,380,331,132,132
2925,1258,386,334,135,132
2950,1269,390,335,136,134
2975,1277,394,337,138,135
3000,1291,397,339,141,136
3025,1302,404,346,142,136
3050,1315,410,349,142,137
3075,1327,416,356,142,142
3100,1339,422,359,142,142
3125,1349,427,361,143,143
3150,1359,433,367,144,143
3175,1373,439,371,144,143
3200,1386,444,379,145,144
3225,1400,451,382,148,145
3250,1414,455,383,149,146
3275,1421,459,387,149,148
3300,1432,463,391,150,150
3325,1441,470,392,150,151
3350,1450,475,397,153,152
3375,1459,481,399,153,154
3400,1470,485,401,156,156
3425,1481,489,403,156,156
3450,1491,496,405,158,158
3475,1499,500,406,159,159
3500,1512,507,412,161,160
3525,1522,511,417,164,161
3550,1532,517,422,171,163
3575,1544,527,424,178,166
3600,1553,535,427,186,167
3625,1563,540,431,192,171
3650,1572,545,433,202,172
3675,1583,548,435,207,173
3700,1595,555,439,211,175
3725,1607,561,445,214,175
3750,1616,565,448,221,175
3775,1628,569,451,226,176
3800,1639,575,456,231,177
3825,1650,579,460,235,178
3850,1661,585,465,242,180
3875,1678,592,468,249,180
3900,1692,600,470,256,180
3925,1705,603,472,263,181
3950,1717,610,474,272,182
3975,1729,620,480,280,183
4000,1742,631,483,289,183
4025,1755,636,487,297,183
4050,1765,641,489,304,183
4075,1773,648,491,311,184
4100,1781,653,493,318,185
4125,1792,659,497,325,186
4150,1804,663,500,332,188
4175,1813,669,505,338,189
4200,1822,679,507,345,189
4225,1828,682,510,355,190
4250,1837,690,514,361,190
4275,1844,698,518,367,190
4300,1850,703,521,374,192
4325,1857,712,526,378,193
4350,1865,716,528,384,197
4375,1875,724,531,388,199
4400,1884,728,535,395,200
4425,1890,731,539,397,201
4450,1897,737,544,405,201
4475,1905,740,547,409,201
4500,1916,743,551,414,201
4525,1926,749,556,425,202
4550,1941,758,562,436,205
4575,1945,765,567,449,205
4600,1955,772,570,454,205
4625,1964,783,578,458,207
4650,1970,786,580,465,208
4675,1982,789,583,469,209
4700,1989,794,588,478,209
4725,1994,799,592,484,210
4750,2001,808,595,491,210
4775,2010,814,600,499,210
4800,2016,819,603,505,211
4825,2026,825,606,511,211
4850,2032,831,607,519,212
4875,2042,837,609,529,213
4900,2052,843,612,534,214
4925,2063,851,614,540,215
4950,2073,859,618,550,216
4975,2079,864,621,557,217
5000,2089,871,624,561,221
5025,2097,875,626,567,221
5050,2110,883,631,576,222
5075,2117,890,636,582,223
5100,2126,897,636,589,223
5125,2137,907,638,594,225
5150,2146,918,644,598,226
5175,2158,920,645,604,227
5200,2168,927,650,615,229
5225,2176,932,654,622,230
5250,2184,941,655,632,230
5275,2193,945,657,636,231
5300,2203,951,658,643,231
5325,2213,959,660,651,232
5350,2221,967,664,660,232
5375,2229,973,665,667,232
5400,2243,984,669,675,233
5425,2251,994,675,683,233
5450,2263,1005,679,687,233
5475,2272,1013,683,695,236
5500,2286,1024,687,700,239
5525,2297,1036,690,703,240
5550,2306,1042,691,710,240
5575,2314,1049,695,715,241
5600,2322,1059,699,719,241
5625,2332,1068,700,722,242
5650,2340,1072,703,726,245
5675,2353,1080,711,735,245
5700,2361,1086,715,738,246
5725,2370,1090,717,744,248
5750,2377,1094,718,749,249
5775,2386,1101,721,754,251
5800,2394,1106,723,758,251
5825,2402,1110,727,764,251
5850,2407,1118,733,770,253
5875,2418,1124,734,776,254
5900,2431,1131,737,781,254
5925,2440,1140,743,787,254
5950,2449,1148,749,792,256
5975,2457,1158,756,800,256
6000,2468,1164,759,805,257
6025,2479,1169,762,812,258
6050,2490,1178,770,825,260
6075,2499,1184,773,833,261
6100,2509,1186,774,841,262
6125,2515,1193,779,849,263
6150,2527,1203,782,859,263
6175,2541,1210,786,867,264
6200,2551,1212,787,869,267
6225,2559,1221,791,873,269
6250,2568,1226,794,878,270
6275,2575,1235,801,886,270
6300,2586,1246,807,893,270
6325,2594,1248,809,896,270
6350,2602,1253,814,900,272
6375,2613,1262,818,908,272
6400,2621,1267,821,911,273
6425,2632,1276,825,921,274
6450,2642,1283,830,927,275
6475,2652,1293,836,933,275
6500,2664,1299,839,940,275
6525,2672,1306,842,946,277
6550,2684,1312,846,953,278
6575,2697,1316,850,959,280
6600,2707,1322,854,966,280
6625,2717,1329,861,975,280
6650,2727,1338,866,983,281
6675,2736,1342,868,991,282
6700,2744,1351,872,1003,282
6725,2751,1353,877,1011,282
6750,2760,1359,880,1015,284
6775,2768,1365,882,1026,285
6800,2779,1373,884,1032,288
6825,2786,1378,888,1039,290
6850,2792,1385,889,1046,290
6875,2805,1392,892,1050,291
6900,2819,1403,896,1062,292
6925,2825,1408,900,1070,293
6950,2838,1416,905,1075,294
6975,2842,1424,906,1081,295
7000,2851,1435,911,1093,298
7025,2861,1443,916,1098,298
7050,2870,1450,926,1103,298
7075,2881,1459,928,1111,299
7100,2892,1469,934,1118,299
7125,2904,1478,937,1123,299
7150,2912,1486,940,1130,299
7175,2922,1494,946,1138,299
7200,2933,1505,949,1144,300
7225,2944,1516,954,1152,300
7250,2956,1527,965,1161,300
7275,2965,1539,972,1171,301
7300,2979,1548,974,1181,302
7325,2990,1557,977,1187,303
7350,2997,1569,983,1195,304
7375,3007,1575,988,1202,304
7400,3017,1580,993,1209,304
7425,3027,1585,993,1212,305
7450,3037,1592,995,1216,306
7475,3045,1599,999,1225,306
7500,3052,1607,1003,1233,306
7525,3061,1615,1007,1244,307
7550,3071,1622,1012,1257,307
7575,3082,1630,1017,1268,308
7600,3093,1640,1020,1276,310
7625,3104,1646,1024,1289,310
7650,3111,1656,1028,1300,312
7675,3121,1666,1032,1311,312
7700,3132,1676,1035,1321,313
7725,3143,1684,1041,1328,313
7750,3154,1694,1048,1336,315
7775,3160,1702,1052,1345,316
7800,3165,1713,1059,1356,318
7825,3172,1724,1066,1366,319
7850,3182,1729,1069,1371,320
7875,3193,1737,1076,1381,321
7900,3202,1746,1079,1390,322
7925,3209,1753,1082,1396,322
7950,3219,1759,1087,1402,323
7975,3228,1771,1094,1410,323
8000,3239,1779,1101,1418,325
8025,3247,1793,1107,1431,325
8050,3256,1803,1114,1443,327
8075,3262,1808,1117,1449,329
8100,3270,1814,1121,1456,331
8125,3279,1822,1125,1463,332
8150,3289,1827,1131,1471,332
8175,3297,1836,1138,1477,332
8200,3304,1842,1140,1486,332
8225,3316,1849,1143,1492,333
8250,3321,1858,1148,1497,333
8275,3332,1867,1154,1508,334
8300,3342,1877,1161,1516,336
8325,3347,1886,1166,1524,338
8350,3352,1893,1167,1528,338
8375,3361,1902,1174,1537,339
8400,3371,1913,1178,1547,340
8425,3380,1923,1185,1556,341
8450,3386,1929,1192,1562,341
8475,3395,1935,1195,1568,343
8500,3399,1945,1198,1577,343
8525,3408,1957,1208,1586,343
8550,3413,1965,1210,1594,344
8575,3421,1971,1216,1602,345
8600,3427,1975,1218,1613,345
8625,3434,1980,1221,1619,346
8650,3441,1985,1223,1628,347
8675,3451,1996,1230,1636,348
8700,3455,2003,1236,1647,349
8725,3463,2010,1239,1654,349
8750,3467,2019,1244,1661,351
8775,3473,2028,1249,1667,351
8800,3480,2036,1251,1672,354
8825,3487,2041,1255,1679,354
8850,3497,2051,1260,1688,355
8875,3505,2056,1264,1693,356
8900,3512,2063,1265,1698,356
8925,3520,2076,1272,1705,357
8950,3523,2083,1277,1710,359
8975,3536,2091,1281,1717,361
9000,3541,2103,1292,1723,362
9025,3547,2112,1295,1730,364
9050,3551,2119,1300,1733,365
9075,3558,2133,1309,1744,366
9100,3562,2140,1315,1750,368
9125,3575,2149,1320,1760,368
9150,3582,2158,1330,1767,370
9175,3586,2162,1335,1777,372
9200,3596,2168,1339,1785,374
9225,3598,2176,1343,1792,374
9250,3606,2183,1348,1803,375
9275,3612,2191,1352,1810,377
9300,3620,2197,1357,1819,377
9325,3628,2206,1361,1828,378
9350,3633,2213,1366,1836,379
9375,3640,2221,1370,1845,380
9400,3651,2229,1374,1853,381
9425,3662,2240,1378,1862,382
9450,3673,2249,1382,1871,382
9475,3680,2252,1386,1877,384
9500,3687,2262,1388,1889,385
9525,3695,2273,1393,1899,385
9550,3701,2286,1398,1905,386
9575,3707,2292,1402,1910,389
9600,3713,2304,1408,1919,391
9625,3724,2309,1411,1927,391
9650,3733,2321,1414,1933,392
9675,3739,2326,1418,1940,393
9700,3745,2335,1426,1949,393
9725,3753,2344,1428,1957,393
9750,3755,2354,1433,1967,394
9775,3762,2363,1438,1974,395
9800,3769,2372,1444,1984,396
9825,3775,2377,1447,1986,398
9850,3782,2387,1452,1992,398
9875,3789,2395,1455,1998,399
9900,3796,2406,1458,2004,401
9925,3803,2416,1462,2013,402
9950,3808,2428,1470,2020,406
9975,3814,2438,1472,2028,408
10000,3820,2447,1474,2034,408
10025,3828,2459,1482,2045,409
10050,3833,2465,1483,2053,411
10075,3838,2473,1486,2057,411
10100,3843,2479,1487,2061,414
10125,3851,2486,1490,2071,414
10150,3859,2498,1496,2081,417
10175,3866,2505,1501,2085,417
10200,3868,2513,1505,2092,417
10225,3875,2523,1514,2103,419
10250,3882,2532,1519,2109,421
10275,3888,2538,1520,2115,421
10300,3898,2548,1528,2121,425
10325,3903,2555,1531,2126,425
10350,3907,2560,1535,2132,425
10375,3910,2571,1543,2142,426
10400,3917,2582,1549,2150,427
10425,3922,2589,1554,2157,427
10450,3927,2595,1560,2165,429
10475,3936,2604,1564,2176,433
10500,3942,2614,1570,2185,436
10525,3951,2623,1575,2193,436
10550,3957,2632,1582,2203,436
10575,3962,2638,1587,2211,438
10600,3969,2648,1593,2215,439
10625,3976,2655,1595,2221,439
10650,3983,2661,1599,2228,439
10675,3992,2672,1607,2235,439
10700,3994,2679,1612,2240,439
10725,3999,2687,1618,2246,439
10750,4005,2693,1621,2253,439
10775,4014,2701,1627,2260,439
10800,4022,2711,1634,2270,439
10825,4030,2723,1643,2281,440
10850,4038,2731,1648,2288,440
10875,4047,2740,1657,2298,440
10900,4054,2750,1662,2308,442
10925,4060,2757,1665,2312,446
10950,4067,2765,1672,2318,448
10975,4077,2777,1675,2326,449
11000,4085,2790,1684,2338,449
11025,4089,2793,1686,2341,450
11050,4096,2802,1693,2348,450
11075,4103,2815,1698,2357,452
11100,4109,2822,1702,2366,452
11125,4110,2827,1708,2369,456
11150,4113,2831,1710,2374,458
11175,4116,2843,1717,2381,459
11200,4127,2851,1724,2390,460
11225,4135,2857,1729,2394,462
11250,4138,2861,1732,2395,463
11275,4146,2866,1735,2400,466
11300,4153,2877,1747,2407,466
11325,4163,2886,1754,2416,468
11350,4171,2894,1761,2423,470
11375,4178,2904,1766,2433,473
11400,4184,2910,1773,2441,473
11425,4190,2918,1776,2446,473
11450,4197,2928,1784,2452,474
11475,4204,2941,1789,2460,475
11500,4212,2951,1796,2468,475
11525,4217,2962,1807,2478,477
11550,4224,2970,1811,2484,477
11575,4229,2977,1817,2494,477
11600,4235,2987,1824,2501,479
11625,4242,2997,1831,2513,480
11650,4248,3004,1837,2521,481
11675,4253,3012,1845,2533,483
11700,4262,3016,1848,2540,484
11725,4269,3029,1853,2550,486
11750,4275,3038,1859,2561,487
11775,4285,3048,1864,2572,487
11800,4296,3057,1872,2582,490
11825,4304,3066,1878,2590,491
11850,4307,3073,1885,2595,492
11875,4312,3082,1894,2602,495
11900,4318,3092,1903,2610,499
