Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
0,0,0,0,0,0,0
25,1,1,1,1,1,1
50,2,2,2,1,2,3
75,6,5,5,4,5,4
100,10,6,5,6,8,4
125,14,6,5,7,9,4
150,19,6,6,10,12,5
175,22,7,8,10,14,5
200,26,10,11,10,20,5
225,31,13,13,10,24,5
250,37,13,13,12,29,8
275,45,14,17,12,34,11
300,52,15,18,12,39,13
325,59,21,22,12,43,14
350,67,25,25,13,47,16
375,77,26,27,15,55,16
400,86,28,29,17,63,18
425,99,31,30,17,70,19
450,112,35,34,18,83,21
475,116,36,36,19,86,22
500,126,38,38,20,91,24
525,137,40,43,23,99,25
550,151,42,48,23,106,26
575,160,45,52,24,115,29
600,175,47,55,24,124,29
625,183,50,58,25,130,30
650,191,54,62,26,135,31
675,199,56,65,27,139,33
700,211,60,68,27,145,33
725,219,62,70,28,152,37
750,230,66,75,29,160,37
775,241,67,78,30,164,38
800,253,68,79,32,173,39
825,263,68,82,33,181,41
850,277,71,83,33,189,42
875,290,75,86,36,194,43
900,302,77,88,36,203,43
925,315,79,91,36,213,43
950,325,79,92,39,220,43
975,337,85,96,40,226,44
1000,352,87,98,43,234,45
1025,363,93,103,44,240,46
1050,374,97,105,45,250,46
1075,387,102,106,45,257,47
1100,404,107,109,47,267,49
1125,416,109,111,47,277,49
1150,429,116,116,48,283,49
1175,442,116,118,50,293,50
1200,453,118,118,50,299,50
1225,466,122,122,50,311,51
1250,475,124,126,51,315,51
1275,488,126,127,52,321,51
1300,502,129,129,52,328,51
1325,515,133,135,55,337,54
1350,527,135,137,55,348,54
1375,538,135,138,56,354,55
1400,548,137,140,57,361,55
1425,559,142,141,58,373,55
1450,565,148,144,59,381,57
1475,580,151,149,60,389,61
1500,596,155,150,60,395,62
1525,610,161,154,60,409,64
1550,623,164,158,61,419,66
1575,632,168,164,61,426,66
1600,649,170,169,62,432,67
1625,662,173,172,62,438,68
1650,674,177,174,62,444,68
1675,689,180,176,63,453,68
1700,702,181,177,63,459,68
1725,713,185,179,65,466,70
1750,727,187,180,66,472,72
1775,740,189,181,67,478,72
1800,752,192,185,68,482,73
1825,767,196,189,68,494,75
1850,777,200,192,69,501,76
1875,790,208,196,69,509,77
1900,801,211,198,69,518,77
1925,815,215,199,69,524,77
1950,829,217,201,70,531,78
1975,842,220,202,71,540,81
2000,855,224,202,72,546,82
2025,868,230,206,73,556,84
2050,882,235,211,74,565,84
2075,898,240,211,75,576,85
2100,907,240,218,77,585,87
2125,921,244,220,78,592,88
2150,932,246,221,79,598,88
2175,941,249,223,82,603,88
2200,953,251,225,82,606,90
2225,962,257,228,83,612,91
2250,971,261,231,85,619,95
2275,982,262,233,88,625,95
2300,993,263,235,90,631,96
2325,1005,266,241,93,636,97
2350,1014,268,241,94,643,98
2375,1025,271,245,96,649,100
2400,1040,274,246,96,660,102
2425,1050,282,251,96,665,102
2450,1061,288,255,96,675,104
2475,1074,293,259,98,684,104
2500,1082,299,264,99,693,106
2525,1091,301,266,100,696,106
2550,1102,308,268,101,703,107
2575,1113,312,273,102,708,111
2600,1122,315,277,102,712,111
2625,1131,319,282,102,720,111
2650,1141,323,284,102,724,112
2675,1148,329,291,103,728,114
2700,1158,333,293,104,732,115
2725,1167,335,296,105,738,116
2750,1179,338,299,105,749,117
2775,1189,341,302,106,752,118
2800,1202,349,311,108,757,122
2825,1212,356,315,109,762,123
2850,1222,368,322,109,770,123
2875,1238,375,326,113,779,124
2900,1245,380,331,113,785,124
2925,1258,386,334,114,789,126
2950,1269,390,335,115,795,128
2975,1277,394,337,115,798,128
3000,1291,397,339,115,803,128
3025,1302,404,346,115,814,129
3050,1315,410,349,118,822,129
3075,1327,416,356,118,832,131
3100,1339,422,359,118,843,132
3125,1349,427,361,118,849,132
3150,1359,433,367,120,859,132
3175,1373,439,371,122,866,133
3200,1386,444,379,123,874,133
3225,1400,451,382,124,884,134
3250,1414,455,383,125,891,134
3275,1421,459,387,125,902,135
3300,1432,463,391,125,912,136
3325,1441,470,392,126,919,136
3350,1450,475,397,127,926,137
3375,1459,481,399,128,934,138
3400,1470,485,401,130,941,139
3425,1481,489,403,131,945,139
3450,1491,496,405,131,953,140
3475,1499,500,406,131,959,142
3500,1512,507,412,132,969,142
3525,1522,511,417,133,976,144
3550,1532,517,422,136,987,145
3575,1544,527,424,136,997,148
3600,1553,535,427,137,1004,150
3625,1563,540,431,139,1014,150
3650,1572,545,433,140,1025,151
3675,1583,548,435,141,1032,152
3700,1595,555,439,141,1038,152
3725,1607,561,445,143,1045,153
3750,1616,565,448,143,1051,153
3775,1628,569,451,145,1059,153
3800,1639,575,456,146,1069,153
3825,1650,579,460,146,1075,153
3850,1661,585,465,147,1085,155
3875,1678,592,468,150,1095,155
3900,1692,600,470,155,1105,157
3925,1705,603,472,156,1118,157
3950,1717,610,474,156,1127,159
3975,1729,620,480,158,1138,160
4000,1742,631,483,159,1146,161
4025,1755,636,487,160,1154,165
4050,1765,641,489,160,1161,167
4075,1773,648,491,161,1165,168
4100,1781,653,493,163,1175,168
4125,1792,659,497,163,1187,169
4150,1804,663,500,164,1195,170
4175,1813,669,505,166,1203,170
4200,1822,679,507,168,1210,172
4225,1828,682,510,169,1215,172
4250,1837,690,514,169,1221,173
4275,1844,698,518,169,1232,173
4300,1850,703,521,169,1242,174
4325,1857,712,526,169,1250,174
4350,1865,716,528,169,1255,174
4375,1875,724,531,170,1265,176
4400,1884,728,535,171,1270,176
4425,1890,731,539,172,1274,178
4450,1897,737,544,173,1280,180
4475,1905,740,547,173,1285,182
4500,1916,743,551,178,1289,183
4525,1926,749,556,178,1298,184
4550,1941,758,562,179,1306,184
4575,1945,765,567,179,1312,184
4600,1955,772,570,183,1319,185
4625,1964,783,578,184,1325,185
