Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
0,0,0,0,0,0,0,0
25,0,0,0,1,0,2,2
50,0,0,0,3,0,3,5
75,0,0,0,5,0,3,8
100,1,1,2,5,1,3,9
125,2,1,2,5,1,4,11
150,3,2,4,6,1,5,11
175,6,3,5,7,1,8,11
200,7,5,7,8,3,10,13
225,9,7,8,8,3,13,13
250,13,8,8,9,4,16,13
275,14,8,8,9,5,19,15
300,16,12,10,9,6,22,15
325,20,15,11,12,7,26,16
350,20,16,12,13,9,28,16
375,22,17,14,13,10,29,18
400,24,17,14,13,12,31,19
425,29,17,14,13,19,34,21
450,30,20,16,13,22,36,22
475,34,20,16,14,22,37,25
500,38,21,17,14,23,41,25
525,45,22,19,14,29,48,25
550,48,22,19,15,30,50,26
575,49,25,20,15,32,51,26
600,53,27,20,16,33,53,26
625,58,28,22,17,36,56,27
650,62,29,23,19,41,61,27
675,69,35,29,21,47,65,27
700,70,36,31,23,51,66,28
725,74,37,31,24,54,68,29
750,76,40,32,27,56,68,30
775,80,40,34,28,60,71,30
800,85,44,36,28,64,76,30
825,87,46,36,29,66,77,31
850,91,50,37,29,69,79,32
875,94,52,39,29,76,83,32
900,101,54,41,30,84,86,35
925,107,55,42,30,89,89,36
950,110,56,42,31,93,93,37
975,115,60,44,32,102,95,38
1000,119,62,46,32,104,97,39
1025,123,65,47,32,108,99,40
1050,127,67,48,32,111,100,41
1075,133,68,48,35,115,105,42
1100,138,71,51,38,120,109,43
1125,148,74,54,39,128,115,43
1150,153,75,55,39,132,118,44
1175,161,78,61,42,138,123,44
1200,165,80,63,43,142,126,44
1225,168,82,63,45,148,128,44
1250,174,84,64,47,150,130,46
1275,180,85,64,48,155,133,48
1300,189,89,67,48,159,137,48
1325,191,90,69,48,162,140,50
1350,198,91,70,50,166,141,50
1375,200,97,75,51,171,143,54
1400,204,101,76,55,176,148,56
1425,209,103,78,57,184,150,58
1450,216,106,82,57,191,153,58
1475,218,109,85,58,194,158,59
1500,221,111,88,60,200,159,59
1525,228,114,91,60,205,161,61
1550,235,115,92,60,213,161,61
1575,238,118,93,60,219,164,62
1600,243,119,95,60,223,164,62
1625,245,120,96,60,228,166,63
1650,248,123,98,61,233,169,64
1675,249,128,102,62,236,173,65
1700,255,130,103,66,241,173,67
1725,259,132,104,66,246,174,67
1750,265,134,105,66,252,175,67
1775,274,135,108,66,258,178,69
1800,279,138,108,67,264,182,70
1825,281,139,109,68,270,183,72
1850,287,142,110,68,277,184,72
1875,291,145,112,70,278,185,75
1900,294,148,115,70,283,187,77
1925,297,154,117,70,289,189,78
1950,304,156,119,70,297,192,78
1975,307,157,120,71,298,193,81
2000,310,159,120,72,304,195,81
2025,317,162,123,74,310,197,82
2050,320,167,124,75,317,200,83
2075,323,168,126,77,323,202,85
2100,328,172,130,79,328,205,85
2125,333,172,131,79,332,206,85
2150,337,175,132,80,339,208,85
2175,343,176,134,80,344,209,86
2200,347,182,135,80,351,212,86
2225,354,185,137,80,356,213,87
2250,363,189,141,80,365,218,91
2275,370,191,142,82,372,222,91
2300,375,193,143,84,377,222,91
2325,379,198,143,85,384,223,93
2350,387,203,145,88,394,224,93
2375,391,205,148,89,398,226,93
2400,400,209,150,91,404,227,93
2425,403,214,150,94,410,229,94
2450,406,218,152,94,419,231,97
2475,413,222,155,94,428,232,98
2500,421,227,158,95,437,233,99
2525,426,230,159,95,443,235,101
2550,432,233,159,96,451,236,103
2575,435,237,162,97,456,241,104
2600,446,239,163,98,464,243,104
2625,451,243,165,99,471,246,105
2650,458,247,167,101,480,247,105
2675,462,249,167,102,485,247,106
2700,469,253,170,102,492,250,107
2725,476,256,173,106,495,251,109
2750,480,260,175,109,502,255,110
2775,486,262,179,110,507,257,110
2800,490,267,186,111,515,260,110
2825,495,272,191,111,521,264,111
2850,504,278,195,112,524,271,111
2875,512,280,196,116,529,272,113
2900,517,282,200,116,539,276,113
2925,521,287,204,116,545,279,113
2950,526,291,207,118,549,282,114
2975,535,296,210,120,555,284,115
3000,538,300,215,120,561,287,116
3025,542,305,218,122,568,289,117
3050,547,308,219,126,572,289,117
3075,551,312,224,126,577,295,117
3100,556,315,226,126,582,301,118
3125,563,322,228,126,588,302,120
3150,569,325,229,126,596,306,121
3175,574,331,231,126,605,310,122
3200,577,334,232,126,611,313,125
3225,580,339,236,127,615,319,128
3250,584,342,236,128,616,322,128
3275,590,345,237,128,619,324,128
3300,597,346,237,128,627,326,129
3325,602,354,242,128,635,332,129
3350,609,357,243,128,641,333,129
3375,612,361,246,128,645,338,130
3400,617,363,250,128,651,340,130
3425,620,368,253,129,657,344,130
3450,624,370,257,129,660,347,132
3475,631,374,258,131,664,349,133
3500,638,377,260,131,667,351,136
3525,641,380,261,132,671,352,136
3550,644,380,261,133,675,353,136
3575,652,386,264,134,683,359,139
3600,654,387,266,134,688,361,142
3625,657,390,267,134,691,363,145
3650,660,395,271,134,696,365,147
3675,664,400,274,135,699,368,149
3700,668,403,275,137,704,369,151
3725,673,406,277,137,708,369,151
3750,679,410,281,139,714,373,151
3775,687,411,281,139,721,374,155
3800,690,414,282,139,728,376,156
3825,693,417,283,140,736,380,157
3850,698,424,287,141,744,383,160
3875,705,426,289,142,752,387,162
3900,711,431,293,144,759,390,164
3925,716,435,294,146,767,393,165
3950,719,437,294,146,771,395,165
3975,729,444,298,147,782,402,166
4000,734,444,298,147,794,404,167
4025,738,447,299,147,800,405,168
4050,745,451,300,148,803,409,168
4075,755,456,305,149,809,415,170
4100,762,464,310,149,819,418,170
4125,765,469,311,151,828,421,171
4150,769,472,311,153,835,422,173
4175,773,475,312,155,843,424,176
4200,777,477,315,157,852,426,177
4225,783,482,319,158,857,432,178
