Time(Iteration),DisLinUCB,NIndepLinUCB,FCLUB_DC,HetoFedBandit,HetoFedBandit_Enhanced,DyClu
0,0,0,0,0,0,0,0
25,0,0,0,3,0,2,0
50,0,0,0,3,0,3,1
75,0,0,0,3,0,3,4
100,1,1,2,4,1,3,5
125,2,1,2,7,1,4,5
150,3,2,4,9,1,5,5
175,6,3,5,9,1,8,6
200,7,5,7,9,3,10,7
225,9,7,8,9,3,13,8
250,13,8,8,10,4,16,8
275,14,8,8,11,5,19,8
300,16,12,10,13,6,22,8
325,20,15,11,14,7,26,9
350,20,16,12,14,9,28,9
375,22,17,14,15,10,29,9
400,24,17,14,17,12,31,9
425,29,17,14,19,19,34,10
450,30,20,16,20,22,36,10
475,34,20,16,21,22,37,10
500,38,21,17,22,23,41,10
525,45,22,19,22,29,48,10
550,48,22,19,23,30,50,11
575,49,25,20,27,31,51,11
600,53,27,20,29,32,53,11
625,58,28,22,30,33,56,12
650,62,29,23,30,39,61,14
675,69,35,29,31,45,65,17
700,70,36,31,32,47,66,18
725,74,37,31,33,49,68,20
750,76,40,32,33,52,68,22
775,80,40,34,34,57,71,25
800,85,44,36,34,60,76,26
825,87,46,36,35,62,77,29
850,91,50,37,36,64,79,29
875,94,52,39,36,71,83,29
900,101,54,41,38,77,86,31
925,107,55,42,39,81,89,31
950,110,56,42,39,86,93,32
975,115,60,44,39,92,95,33
1000,119,62,46,41,94,97,33
1025,123,65,47,42,95,99,35
1050,127,67,48,43,96,100,35
1075,133,68,48,43,99,105,35
1100,138,71,51,44,101,109,36
1125,148,74,54,45,105,115,37
1150,153,75,55,45,111,118,40
1175,161,78,61,48,115,123,40
1200,165,80,63,48,119,126,40
1225,168,82,63,48,121,128,42
1250,174,84,64,48,123,130,44
1275,180,85,64,49,125,133,44
1300,189,89,67,50,128,137,45
1325,191,90,69,51,129,140,46
1350,198,91,70,53,133,141,46
1375,200,97,75,53,137,143,49
1400,204,101,76,53,140,148,51
1425,209,103,78,53,144,150,53
1450,216,106,82,56,149,153,55
1475,218,109,85,59,152,158,55
1500,221,111,88,61,156,159,56
1525,228,114,91,63,160,161,57
1550,235,115,92,65,165,161,57
1575,238,118,93,66,169,164,58
1600,243,119,95,66,171,164,59
1625,245,120,96,67,175,166,59
1650,248,123,98,67,178,169,60
1675,249,128,102,67,181,173,61
1700,255,130,103,68,184,173,61
1725,259,132,104,68,187,174,63
1750,265,134,105,68,190,175,64
1775,274,135,108,70,191,178,64
1800,279,138,108,70,194,182,64
1825,281,139,109,72,198,183,67
1850,287,142,110,75,202,184,67
1875,291,145,112,75,204,185,68
1900,294,148,115,75,210,187,70
1925,297,154,117,76,212,189,70
1950,304,156,119,78,217,192,70
1975,307,157,120,79,220,193,71
2000,310,159,120,80,221,195,71
2025,317,162,123,81,228,197,71
2050,320,167,124,81,234,200,72
2075,323,168,126,81,240,202,73
2100,328,172,130,82,244,205,74
2125,333,172,131,83,248,206,77
2150,337,175,132,86,254,208,78
2175,343,176,134,87,258,209,78
2200,347,182,135,87,259,212,78
2225,354,185,137,90,264,213,80
2250,363,189,141,90,268,218,80
2275,370,191,142,91,275,222,81
2300,375,193,143,91,279,222,83
2325,379,198,143,93,283,223,83
2350,387,203,145,94,288,224,84
2375,391,205,148,96,292,226,84
2400,400,209,150,96,297,227,85
2425,403,214,150,96,304,229,85
2450,406,218,152,97,312,231,86
2475,413,222,155,97,315,232,86
2500,421,227,158,99,324,233,88
2525,426,230,159,100,328,235,89
2550,432,233,159,102,331,236,91
2575,435,237,162,105,336,241,91
2600,446,239,163,105,341,243,94
2625,451,243,165,105,345,246,94
2650,458,247,167,105,350,247,94
2675,462,249,167,105,355,247,95
2700,469,253,170,105,362,250,95
2725,476,256,173,106,367,251,97
2750,480,260,175,106,371,255,97
2775,486,262,179,106,376,257,97
2800,490,267,186,106,382,260,97
2825,495,272,191,106,390,264,98
2850,504,278,195,108,395,271,99
2875,512,280,196,109,398,272,100
2900,517,282,200,110,404,276,101
