Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC,HetoFedBandit_PQ
0,2550,0,0,0,0
50,11550,0,0,7500,0
100,12450,0,430,9550,2722
150,13250,0,860,10650,5424
200,13850,0,1336,11600,8105
250,14350,0,1720,12200,10807
300,14850,0,2150,12750,13509
350,15250,0,2580,13200,16190
400,15650,0,2964,13600,18892
450,16050,0,3394,13950,21594
500,16450,0,3778,14300,24255
550,16750,0,4208,14550,26936
600,17050,0,4592,14850,29545
650,17350,0,5022,15100,32019
700,17650,0,5406,15300,34576
750,17950,0,5790,15500,36977
800,18250,0,6174,15650,39294
850,18450,0,6558,15850,41591
900,18750,0,6942,16050,43836
950,18950,0,7326,16200,45957
1000,19250,0,7710,16350,47973
1050,19450,0,8094,16500,50062
1100,19650,0,8478,16650,52099
1150,19950,0,8862,16800,54136
1200,20150,0,9246,16950,56173
1250,20350,0,9584,17100,57982
1300,20550,0,9968,17150,59718
1350,20750,0,10306,17300,61547
1400,20950,0,10690,17400,63428
1450,21150,0,11028,17500,65237
1500,21350,0,11412,17600,66942
1550,21550,0,11796,17700,68594
1600,21750,0,12134,17800,70371
