Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC
0,19.367070246928733,19.367070246928733,18.713688455474827,18.78082331161932
50,615.3279134901062,528.6320187674509,939.9784983505114,514.0515066271512
100,1145.5779770075999,679.7097946439189,969.5223232758726,691.0999558661948
150,1657.9098524913732,762.2695243772876,977.0499990270354,797.2263319847796
200,2164.470981987491,822.3305503744069,983.3949061790665,868.4608870174892
250,2681.53446061491,867.763764010712,988.4227356291764,919.0269471235871
300,3202.4539822623415,903.1978396551917,992.7095780631545,960.1819297676083
350,3728.338467256827,932.1793692892667,996.4131379575427,992.4453695992993
400,4231.512997649096,959.0963406650201,999.7199294640327,1021.452696989974
450,4732.339566286516,983.2255224022565,1002.5299244717712,1045.4198357992257
500,5243.85746322429,1004.6332842049537,1004.849048443979,1064.8294033728462
550,5745.562866829063,1024.0696853868249,1006.8896432804233,1082.8834489051696
600,6249.840955820283,1042.2104474805972,1009.1187477643149,1099.5944387053923
650,6756.767087222989,1057.4464750142915,1011.2678491169333,1114.3039173045872
700,7265.4630584769275,1071.1820828336288,1013.08769196116,1127.3840029516873
750,7763.5129884704465,1085.4276086572168,1014.9793583251818,1139.0245341598757
800,8270.532416969767,1097.8510971723526,1016.6771209155102,1151.0726719206248
850,8773.221859468329,1108.9366589259432,1017.9422439349373,1161.1593587334776
900,9265.897577865246,1121.664808230188,1019.628211263364,1170.789967567096
950,9769.906108682018,1132.6671532823557,1021.1463425231293,1179.6211670626894
1000,10279.387024972912,1143.5468122368559,1022.752363595722,1187.9551921260174
1050,10796.990854896385,1152.3847785601097,1023.9380406575583,1195.8366701225225
1100,11300.328730500329,1161.0932113418694,1025.238172742085,1202.7688045100895
1150,11799.418071224605,1170.3269145122724,1026.555684272861,1210.105200886623
1200,12316.747006326985,1177.9093887173565,1027.4595687809276,1216.0041976857046
1250,12841.936199169917,1187.0256090084076,1028.6243421065321,1222.3965015135304
1300,13338.091400682442,1195.2741288546933,1029.642424876667,1228.5215920185665
1350,13845.61148586483,1202.838373782668,1030.7785684629193,1234.6259731238156
1400,14366.282776570182,1210.5281285556061,1031.581372463914,1240.2375328191936
1450,14867.886406542293,1216.8800492566504,1032.6568127526543,1245.2527421469617
1500,15377.585972845744,1223.7292085629097,1033.3729337516222,1249.7824072102533
1550,15889.408192741577,1229.703046134532,1034.2926394113638,1254.6256638365405
1600,16385.238034974936,1237.4188628875374,1035.0422502596605,1259.139462405383
1650,16905.518087028984,1243.6940953414037,1035.7611118418085,1263.217125262165
1700,17427.408039900558,1249.9946170382443,1036.5096275748385,1267.460327134653
1750,17927.786528748835,1255.9329491404658,1037.1344002084213,1271.4959942282442
1800,18430.900510888856,1261.9430644894628,1037.7179886754273,1275.3221333540348
1850,18943.605338200236,1268.188344170421,1038.4095386579922,1278.912123262548
1900,19453.655672624605,1273.5952727613228,1039.0571476454859,1282.65963365982
1950,19961.892936564032,1279.0781640182104,1039.587794009947,1286.1993953515362
