Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC,HetoFedBandit_PQ
0,13.916284529127054,13.916284529127054,18.762931434616867,17.650837700609358,18.22566486328102
50,447.85433104584286,524.7361974378804,907.2205268552223,524.1391407737548,927.883077860789
100,826.6101029459809,674.4671959750337,980.6228232933811,709.5324226828128,993.2992637998267
150,1210.369213924425,751.7514105880141,1000.8739566707864,809.1860299629767,1015.3831484217601
200,1600.6758310090909,807.6864144041314,1016.1173092899135,873.9950232192932,1030.0843509037609
250,1992.3386305119807,853.6702084297079,1027.5660969049786,925.1744055297428,1042.1593097161829
300,2360.685608300994,892.507787990114,1036.8138564057724,962.9280818005848,1051.46350297971
350,2743.008433002697,923.3129527166477,1045.5986168755412,992.9108981094647,1059.4947199313133
400,3115.9824539219776,947.5848488934806,1052.1729661089487,1017.8427430162335,1066.7765276398095
450,3490.1782419976853,969.2342764368442,1057.840749722346,1039.044625637405,1073.2674340033498
500,3862.0956887109887,990.4350821036433,1064.0454249348873,1058.360332149985,1079.333756212624
550,4237.658234751568,1007.9286648160005,1068.8887593967593,1074.7547319907947,1084.0527350056097
600,4614.802649733459,1024.7802234427697,1073.7037575296042,1089.0974244072092,1089.004067547492
650,4990.11558153553,1040.4293348106075,1077.7658451515265,1104.050489858854,1092.9854056079628
700,5371.364738747668,1055.7146524561858,1081.7266059215167,1116.1845679953303,1097.0424429030704
750,5763.755085793975,1068.753161290757,1085.4744850289812,1126.2038339037736,1100.9967590803408
800,6144.357328912467,1081.4985206598792,1088.8864618927462,1137.2369717247743,1104.515222763246
850,6535.4524039645985,1092.8352889580544,1091.8319359830148,1146.1039988383516,1107.6181739534873
900,6927.27322221016,1101.5281388413557,1094.348835243005,1153.0669687601185,1110.0957403230302
950,7307.201747197938,1111.3185637296294,1097.2419761162373,1161.2255233053893,1113.0458435864898
1000,7697.936524994828,1121.6939979002027,1100.0692262421817,1168.7744930825386,1115.8601743052218
1050,8074.312315357035,1130.2635384637128,1102.7551904068305,1175.1392312069092,1118.3553498720046
1100,8454.005130696072,1138.8851829841826,1105.558719143427,1181.6621192567527,1121.116717891725
1150,8825.340462290445,1147.7875076235728,1107.6954256017998,1188.0517265627611,1123.3644236048908
1200,9200.134776418603,1156.3469113477922,1110.2712755861849,1194.6864019794382,1125.9035023779065
1250,9577.659634153773,1164.971813777477,1112.44129242057,1200.239291563362,1127.9899287178785
1300,9951.483229260013,1172.9619468485346,1114.7692446554308,1206.2764383702454,1130.346080977873
1350,10322.614503465722,1180.5777123127739,1116.6087731930506,1211.899635355378,1132.372490883318
1400,10696.696476267718,1188.809531947305,1118.416692876785,1216.438412317759,1134.3122519536892
1450,11085.995724942673,1195.5870305991155,1120.3071249826223,1220.846346918197,1136.4051130321604
1500,11461.332390858148,1202.691109183542,1122.1686657984653,1225.2078444066303,1138.100753510437
1550,11847.192722306278,1209.8825394556588,1124.1841039776186,1229.6071201415953,1139.8222499130304
1600,12223.41045808187,1215.9981103401647,1126.0121217411545,1233.458570796292,1141.6208841679954
1650,12604.151763611228,1223.0813674335113,1127.696567082146,1237.9597077625715,1143.2939854074266
1700,12971.670343725043,1229.7467544675085,1129.535977454196,1242.1490676561968,1144.9993177111344
1750,13353.631177524034,1235.7680049640874,1131.1449933799367,1245.7998976380618,1146.7158608094455
1800,13730.523022133464,1241.6131864916922,1133.0574135247805,1250.0329315931976,1148.5293745138865
1850,14104.391523702658,1246.907622002934,1134.7200360789227,1253.547599673352,1150.2142527091648
1900,14490.46206386948,1252.0051387650028,1136.3661934895038,1256.6876723364144,1151.7386192056751
1950,14861.409703244284,1257.5235518302063,1137.8113956615625,1259.9760401961937,1153.2692304655543
2000,15237.828170205188,1262.3055494292544,1139.2743635638674,1263.3273651045806,1154.7061871203812
2050,15631.126308069051,1267.2034368906805,1140.4764846891496,1266.253579001755,1155.91668424626
2100,16010.294792383787,1271.9870398555477,1142.1210655843088,1269.3373637239738,1157.399784389995
2150,16388.40963545644,1277.2078955245106,1143.531109282713,1272.8408138639525,1159.1662135831239
2200,16773.397456916864,1282.8613982818697,1144.829015360555,1275.8035520363715,1160.6654838032757
2250,17155.79036654888,1287.465644999361,1146.1093999904588,1278.5399536009563,1162.024929385001
2300,17542.406439306567,1292.3763638363355,1147.4368347015177,1281.2563983832504,1163.3098192075495
2350,17930.372835612092,1297.218838584094,1148.695872905373,1283.9396365340358,1164.5838582198141
2400,18304.681955490414,1301.6399473010274,1150.1125220772087,1286.6234265681142,1166.228427605373
2450,18684.5561243796,1306.3562753822823,1151.4033332107042,1289.5115833888983,1167.774053282309
2500,19066.774995316835,1310.861978787957,1152.7518900940631,1292.0757031523135,1169.1543472628352
2550,19443.293441143425,1315.3007884983926,1154.0288698237584,1294.6107447693491,1170.3653606733355
2600,19820.22225480347,1320.1477878760008,1155.5037225305896,1297.2271616399037,1171.6639690175862
2650,20201.91477388265,1324.3749808485584,1156.564830152896,1299.6402979012878,1172.7119999313493
2700,20584.290293416845,1328.653113879374,1157.7627912318198,1302.2675224275213,1174.008239628431
2750,20968.038761823034,1333.2068944136865,1158.9729106490327,1304.4424044218417,1175.21564782083
2800,21342.281618255252,1337.4657334675912,1160.3693733217567,1307.0236174365525,1176.6629001740794
2850,21722.55095419057,1341.1939924809396,1161.449434780608,1309.140910247821,1177.7103613711981
2900,22092.72510375535,1344.8148125013179,1162.4993097054974,1311.072402374386,1178.665804228546
2950,22467.75304021105,1348.99748794978,1163.9306557547275,1313.4185069428881,1180.1421200226314
3000,22834.88306564177,1352.590437879006,1164.8897601420315,1315.529203932845,1181.1958194159117
3050,23212.655981562737,1356.034249589477,1165.7732977829698,1317.4214589523667,1182.0488803579033
3100,23589.547328036937,1359.49453755804,1166.8791297759049,1319.2524114939583,1182.9737643786686
3150,23969.665326597027,1362.7779915000992,1167.957277819209,1321.1955229123853,1184.19046017293
3200,24346.97924128143,1366.292539012854,1169.100377687755,1323.3150973379725,1185.2640254908197
3250,24732.812063490546,1369.52291299714,1170.1831190980108,1325.1732581520937,1186.4413258216869
3300,25106.260539769602,1372.8250040176376,1171.1811886666392,1326.9274249805894,1187.277583751813
3350,25482.236773615336,1376.2636314998153,1172.184462475952,1328.6951950070122,1188.3536511734146
3400,25855.298186799686,1379.3509040447977,1173.0505320872144,1330.3077236078946,1189.223629267831
3450,26230.201061195854,1382.5244492874535,1174.1105455789404,1331.8922455826842,1190.3797103711793
3500,26610.936770599794,1385.7042445145808,1175.3458246236105,1333.4112634066312,1191.586874753508
3550,26985.358540346813,1388.4516297236637,1176.2263847379484,1334.7942759344803,1192.4446294320276
3600,27363.298406529433,1391.6608842055848,1177.1090905869487,1336.5295444957305,1193.1165851043452
3650,27732.3392050877,1394.774270068888,1177.8319658735168,1337.971057662695,1193.8582868747935
3700,28110.776355445465,1397.752861322583,1178.7720598056703,1339.7609316229195,1194.7061091329333
3750,28487.06687103602,1400.7655955738967,1179.813209597921,1341.5120817702648,1195.759427559055
3800,28859.565564819182,1403.5849521643022,1180.595877537156,1342.878224681566,1196.6691023126841
3850,29228.494368648102,1406.4298579116125,1181.5004332435967,1344.2241196975779,1197.6110010746563
